date,maxtemp,mintemp,weather_rain,weather_snow,weather_sun
20010717,32.5,17.9,1.55,,0.3
20010718,26.1,20.3,0.04,,12.4
20010719,29.3,23.9,0.0,,10.0
20010720,30.8,22.4,0.51,,6.6
20010721,21.0,17.5,0.39,,2.4
20010722,21.3,18.1,0.56,,0.5
20010723,24.5,19.9,3.99,,4.9
20010724,25.9,20.5,0.0,,3.4
20010725,24.5,21.3,0.0,,1.8
20010726,27.0,21.2,0.15,,7.9
20010727,27.3,22.3,0.0,,8.0
20010728,30.0,24.3,0.0,,12.3
20010729,30.6,24.5,0.0,,11.2
20010730,28.0,24.3,0.0,,8.5
20010731,31.7,25.7,0.0,,12.2
20010801,31.4,25.9,0.0,,11.8
20010802,29.4,24.7,0.0,,11.1
20010803,31.5,26.7,0.0,,10.2
20010804,35.1,28.2,0.0,,9.8
20010805,32.1,23.4,0.0,,9.8
20010806,27.6,22.9,0.0,,11.0
20010807,29.8,24.0,0.0,,12.0
20010808,31.0,25.4,0.0,,9.8
20010809,32.1,25.8,0.0,,9.7
20010810,31.2,24.4,0.2,,11.4
20010811,22.0,17.1,0.85,,0.0
20010812,23.4,18.2,0.0,,10.3
20010813,25.7,20.1,0.0,,10.9
20010814,28.6,24.0,0.0,,11.3
20010815,29.5,24.1,0.0,,10.0
20010816,30.9,25.0,0.0,,10.4
20010817,31.4,25.4,0.0,,7.5
20010818,31.8,25.9,0.0,,9.9
20010819,32.5,26.2,0.0,,10.1
20010820,32.8,26.1,2.15,,8.6
20010821,28.7,23.2,0.0,,4.7
20010822,27.6,22.6,0.36,,2.8
20010823,27.5,22.2,0.53,,4.1
20010824,28.0,23.2,0.0,,4.3
20010825,30.1,24.3,0.0,,9.4
20010826,30.7,24.5,0.0,,11.2
20010827,31.5,25.4,0.0,,9.4
20010828,28.1,19.5,0.0,,11.5
20010829,20.6,17.2,0.0,,11.6
20010830,23.4,17.7,0.0,,11.6
20010831,21.3,16.9,0.01,,1.5
20010901,22.1,18.3,0.0,,6.3
20010902,18.9,16.4,0.0,,0.5
20010903,21.6,16.7,0.0,,6.2
20010904,23.8,18.3,0.04,,5.0
20010905,22.4,16.5,0.65,,0.0
20010906,18.6,16.0,0.0,,0.1
20010907,18.9,15.9,0.0,,1.1
20010908,17.3,15.2,1.17,,0.0
20010909,16.7,12.3,0.03,,2.3
20010910,16.7,12.0,0.0,,5.5
20010911,14.6,12.6,0.05,,0.0
20010912,17.0,13.0,0.11,,1.4
20010913,20.5,15.7,0.0,,7.8
20010914,20.9,16.7,0.16,,1.5
20010915,19.4,13.8,1.76,,0.0
20010916,16.1,12.2,0.2,,1.2
20010917,11.9,10.5,2.81,,0.3
20010918,15.2,11.6,0.0,,2.3
20010919,16.3,11.9,0.0,,3.0
20010920,21.0,14.5,0.0,,8.1
20010921,21.7,16.1,0.0,,6.2
20010922,22.0,16.0,0.0,,6.2
20010923,18.0,15.5,1.45,,0.2
20010924,24.7,18.8,0.22,,5.6
20010925,20.1,16.9,0.0,,0.7
20010926,17.0,14.1,0.0,,0.2
20010927,16.4,12.1,0.0,,8.4
20010928,22.1,14.7,0.0,,8.8
20010929,21.2,16.0,0.0,,8.1
20010930,17.5,14.1,0.14,,0.0
20011001,19.9,16.3,0.0,,1.6
20011002,25.2,18.6,0.0,,8.5
20011003,25.2,18.8,0.0,,8.3
20011004,22.4,16.5,0.0,,2.6
20011005,21.4,16.7,0.0,,4.4
20011006,21.9,16.5,0.0,,6.5
20011007,22.8,16.9,0.0,,4.0
20011008,25.0,19.6,0.0,,6.7
20011009,25.8,19.6,0.0,,7.6
20011010,25.0,19.2,0.0,,4.2
20011011,21.2,17.6,0.0,,6.1
20011012,21.8,16.7,0.0,,9.1
20011013,22.4,15.3,0.0,,7.6
20011014,21.4,14.8,0.0,,7.6
20011015,21.8,15.0,0.0,,7.5
20011016,22.2,15.7,0.0,,7.1
20011017,20.0,13.9,0.01,,4.4
